Scheme Name,Eligible Categories,Eligible Genders,Max Income,Age Range,Disability Required,Rural Only,Business Types
"""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",ANY,ANY,No cap / not found,Not found,No,No,startup
"""Interest Subsidy (For Micro, Small, Medium and Large New Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",ANY,ANY,No cap / not found,Not found,No,No,MSME
"""Interest Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""","SC, ST",female,No cap / not found,Not found,Yes,No,ANY
"""Market Development Support Assistance"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",ANY,ANY,No cap / not found,Not found,No,No,MSME
"""Outstanding Artisan of the Year"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",ANY,ANY,No cap / not found,Not found,No,No,handicraft
"""Outstanding Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Outstanding Exporter"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"""Outstanding SC/ST Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Rent Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",ANY,female,No cap / not found,Not found,No,No,ANY
"""Subsidy for Quality Certification"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various incentives""",ANY,ANY,No cap / not found,Not found,No,No,MSME
"""Subsidy to Pollution Control Equipment"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",ANY,ANY,No cap / not found,Not found,No,No,ANY
"""Training in Silk"" Component of the ""Development of Silk"" Scheme",ANY,ANY,No cap / not found,18-35,No,No,ANY
"Financial Assistance for Setting Up of Sales Emporia by Industrial Associations, Handicrafts Societies and Recognized Institutions' under 'Marketing And Publicity'",ANY,ANY,No cap / not found,Not found,No,No,handicraft
"Grant-in-Aid to Industrial Association, CII, Industrial NGOs for Promotion of SME Clusters' under 'Marketing And Publicity'",ANY,ANY,No cap / not found,Not found,No,No,ANY
"Organizing/ Participation in Exhibitions /Trade Fairs /Expo /Seminars /Investors Meets, etc' under 'Marketing And Publicity'",ANY,ANY,No cap / not found,Not found,No,No,handicraft
Rent Subsidy for Sales Emporia Established by Handicrafts / Micro & Small Industries Emporium' under 'Marketing And Publicity',ANY,ANY,No cap / not found,Not found,No,No,ANY
25% Capital Investment Subsidy Scheme,ANY,female,No cap / not found,18-100,Yes,No,"manufacturing, MSME"
"40% Subsidy On Hank Yarn, Dyes & Chemicals Scheme",ANY,ANY,No cap / not found,Not found,No,No,handicraft
Aamar Dukan On Wheels,ANY,ANY,No cap / not found,18-100,No,No,education
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Assistance of Interest Subsidy,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: EPF Reimbursement,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Net SGST reimbursement,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Reimbursement of SGST Paid on Capital Goods,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Reimbursement of Stamp Duty and Registration Fees,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Assistance of Interest Subsidy,ANY,ANY,No cap / not found,Not found,No,No,ANY
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: EPF Reimbursement,ANY,ANY,No cap / not found,Not found,No,No,ANY
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Net SGST Reimbursement,ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Interest Subsidy to Micro, Small and Medium Enterprise (Manufacturing Sector)",ANY,ANY,No cap / not found,Not found,No,No,"trading, services, MSME"
"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Interest Subsidy to Micro, Small and Medium Enterprise (Service Sector)",ANY,ANY,No cap / not found,Not found,No,No,"trading, services, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Patent Registration,ANY,ANY,No cap / not found,Not found,No,No,"trading, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Power Connection Charges,ANY,ANY,No cap / not found,Not found,No,No,"trading, services, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Quality Certification,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Raising Capital through SME Exchange,ANY,ANY,No cap / not found,Not found,No,No,"trading, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Reimbursement of CGTMSE Fees,ANY,ANY,No cap / not found,Not found,No,No,services
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Saving in Consumption of Energy and Water,ANY,ANY,No cap / not found,Not found,No,No,"trading, services, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Technology Acquisition,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance in Implementation of Information and Communication Technology,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance in Rent to MSEs,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance of Capital Investment Subsidy to Micro enterprises,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: EPF Reimbursement to MSMEs,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Financial Support to MSMEs in ZED Certification,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Net SGST reimbursement to Micro, Small and Medium Manufacturing Enterprise (MSMEs):",ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Rehabilitation of Sick Enterprise,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Advance Authorisation(AA),ANY,ANY,No cap / not found,Not found,No,No,"handicraft, manufacturing"
Agri-Clinics And Agri-Business Centres Scheme,ANY,ANY,No cap / not found,18-60,No,No,"agriculture, education"
Agricultural Activities for Persons with Disabilities,ANY,ANY,No cap / not found,18-100,Yes,No,ANY
Agriculture Infrastructure Fund,"SC, ST",female,No cap / not found,Not found,No,No,ANY
Annal Ambedkar Business Champions Scheme,"SC, ST",ANY,No cap / not found,Not found,No,No,"manufacturing, trading, services, startup, education"
Artisan Promotion,Minority,ANY,No cap / not found,Not found,No,No,"handicraft, MSME"
Artisan Technology Upgradation & Professional Modernisation Scheme (ATPM),ANY,female,No cap / not found,18-65,No,No,"Technology Upgradation, Artisans, Handlooms, Modernisation, Professional Training, Equipment Support"
Arunachal Pradesh Entrepreneurship Challenge,ANY,ANY,No cap / not found,18-100,No,No,"MSME, startup"
Asangathit Karmakaar Silai Machine Sahayata Yojana,"General, OBC, SC, ST",female,No cap / not found,18-50,No,No,"Tailoring, Garment Manufacturing, Handicrafts, Textiling, Micro-enterprise, Self-Employment"
Assistance Scheme for Handicraft Artisans,General,ANY,No cap / not found,Not found,No,No,handicraft
"Assistance Scheme for Innovation, Incubation and MSMEs (ASIIM)",ANY,female,"₹5,000,000",18-65,No,No,"Innovation, Startups, MSME Support, Incubation, Technology Development, Entrepreneurship"
Assistance Towards Expenses Incurred for Raising of Funds through NSE’s/ BSE’s SME Exchange Platform,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, services, MSME"
Assistance for Digitization of Business Processes and Adoption of eCommerce,ANY,ANY,No cap / not found,Not found,No,No,MSME
Assistance for Quality Enhancement,ANY,ANY,No cap / not found,Not found,No,No,MSME
Assistance to Traditional Pottery Makers,ANY,ANY,"₹100,000",Not found,No,No,ANY
Assistance to Training Institutions Scheme,ANY,ANY,No cap / not found,Not found,No,No,"services, MSME"
Ayushman Arogya / Assistance Scheme (AA),ANY,female,No cap / not found,0-100,No,No,"Healthcare, Health Insurance, Medical Assistance, Ayushman Bharat, Welfare"
Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (AB-PMJAY),ANY,female,"₹500,000",0-100,No,No,"Health Insurance, Medical Treatment, Healthcare, Hospitalization, Social Security"
Babu Jagjivan Ram Chhatrawas Yojana (BGCRS),SC,female,"₹250,000",14-30,No,No,"SC Welfare, Hostel Construction, Student Welfare, Education Support, Social Justice"
Back Ended Interest Subsidy (BEIS),ANY,ANY,No cap / not found,Not found,No,No,MSME
Backward Classes & Social Pension Support Scheme (BSP),EWS,female,"₹500,000,000",60-90,Yes,No,"Social Pension, Backward Classes, Senior Citizens, Financial Support, Welfare, Social Security"
Backward Classes & Weaker Sections Skill Growth & Development Corporation Scheme (SSSGBCDC),EWS,female,No cap / not found,18-60,No,No,"Backward Classes, Skill Development, Concessional Loans, Financial Assistance, Social Justice, Welfare"
"Banglashree for Micro, Small and Medium Enterprises: Interest Subsidy on Term Loan (IS)",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Banglashree for Micro, Small and Medium Enterprises: Power Subsidy (PS)",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Banglashree for Micro, Small and Medium Enterprises: State Capital Investment Subsidy (CIS)",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Energy Efficiency (EES)",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Patent Registration (PRS)",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Standard Quality Compliance (SCCS)",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for State Goods and Services Tax (SGST)",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Water Conservation/Environment Compliance (WCS)",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Work Force Welfare Assistance (WWAS)",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
"Banglashree for Micro, Small and Medium Enterprises: Subsidy on Stamp Duty and Registration Fee (SDRFS)",ANY,ANY,No cap / not found,Not found,No,No,manufacturing
Bank Guarantee Charges Reimbursement Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Bank Loan Processing Fee Reimbursement Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Barbershop Renovation Grant,ANY,ANY,"₹100,000",Oct-15,Yes,Yes,"trading, services"
Bharatiya Nirdeshak Dravya (BND) / Reference Standard Production & Promotion Scheme (BNPFRS),ANY,female,"₹50,000,000",18-70,No,No,"Reference Standards, Quality Assurance, Scientific Research, Measurement Standards, Industrial Testing, CSIR-NPL"
Bhargava Matching Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Big Loan Scheme,Minority,ANY,No cap / not found,18-50,No,No,manufacturing
Bihar Startup Policy,ANY,ANY,No cap / not found,Not found,No,No,"services, startup"
Biotechnology Ignition Grant (BIG),ANY,female,"₹5,000,000",18-65,No,No,"Biotechnology, Healthcare, Agriculture, Startups, R&D, Innovation, Grant"
Biotechnology Ignition Grant Scheme,ANY,ANY,No cap / not found,Not found,No,No,"services, startup, education"
Biotechnology Young Entrepreneur Award,ANY,ANY,No cap / not found,Not found,No,No,education
Biponi Scheme,ANY,ANY,No cap / not found,Not found,No,Yes,education
Building Awareness on Intellectual Property Rights (IPR) for MSME Scheme,ANY,female,No cap / not found,18-70,No,No,"Intellectual Property Rights, Patents, Trademarks, MSME Support, Innovation, Legal Assistance"
Bunkar / Artisan Professional Support & Pension Scheme (BPS),ANY,female,No cap / not found,18-70,No,No,"Handlooms, Artisans, Professional Support, Pension Scheme, Welfare, Craftspersons"
CHIEF MINISTER  EMPLOYMENT GENERATION  PROGRAMME (CMEGP),"SC, ST",female,No cap / not found,Not found,Yes,No,education
Campus Recruitment Assistance Scheme,ANY,ANY,No cap / not found,Not found,No,No,education
Capacity Building for Service Sector Scheme (CBSSC-TL),ANY,female,No cap / not found,18-65,No,No,"Service Sector, Capacity Building, MSME Support, Skill Upgradation, Enterprise Growth"
Capital Contribution Scheme (Goa),ANY,female,No cap / not found,3-100,No,No,trading
Capital Investment Subsidy Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Capital Investment Subsidy Scheme for Goan Diaspora,ANY,ANY,No cap / not found,Not found,No,No,ANY
"Capital Investment Subsidy: Thrust Area Industries"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",ANY,ANY,No cap / not found,Not found,No,No,ANY
Capital Subsidy,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, healthcare"
Central Assistance For One Time Settlement Of Displaced Families From PoK And Chhamb Under Prime Minister's Development Package,ANY,ANY,No cap / not found,Not found,No,No,ANY
Central Innovation & Skill Entrepreneurship National Technology Support Scheme for Handlooms & Crafts (CISENDTSHCNHR),ANY,female,No cap / not found,18-60,No,No,"Handlooms, Crafts, Innovation, Technology Support, Skill Development, Entrepreneurship"
"Central Innovation, Skill & Entrepreneurship National Rural Welfare & Craft Scheme (CISENRWC)",ANY,female,No cap / not found,18-60,No,Yes,"Rural Innovation, Skill Development, Entrepreneurship, Craft Welfare, Livelihood Support, National Scheme"
Central Sector Scheme of Free Coaching for SC and OBC Students (CEGSSC),"OBC, SC",female,"₹800,000",18-35,No,No,"Free Coaching, SC Welfare, OBC Welfare, Competitive Exams, Education Support, Student Stipend"
Chanakya Scheme for Swayam Upadhi,ANY,ANY,No cap / not found,Not found,No,No,ANY
Charmashilpa Scheme,ANY,ANY,"₹30,000",Not found,No,No,handicraft
Chief Minister Rural Path Vendor Loan Scheme,ANY,ANY,No cap / not found,Not found,No,Yes,trading
Chief Minister Vocational Training and Skill Upgradation Scheme (CVY-SUMCY),ANY,female,"₹150,000",15-45,No,No,"Skill Development, Vocational Training, Employment, Youth Welfare, Training Grant"
Chief Minister Vocational Youth and Community IT Training Scheme (CVY-CITUS),ANY,female,"₹150,000",16-40,No,No,"Digital Literacy, IT Training, Skill Development, Youth Empowerment, Employment Support"
Chief Minister's Youth Empowerment / Unemployment Allowance / Entrepreneurship Scheme (CUY),ANY,female,No cap / not found,18-45,No,No,"Youth Empowerment, Employment, Skill Training, Entrepreneurship, Financial Allowance"
Chief Minister’s Scheme For Wood Carving Artists,ANY,ANY,No cap / not found,14-25,No,No,"trading, education"
Co-Working Space/ Incubators/ Accelerators Subsidy Scheme,ANY,ANY,No cap / not found,Not found,No,No,startup
Coir Udyami Yojana,ANY,ANY,No cap / not found,18-100,No,No,ANY
Coir Vikas Yojana- Coir Industry Technology Upgradation Scheme,ANY,ANY,No cap / not found,Not found,No,No,MSME
Coir Vikas Yojana- Export Market Promotion Scheme,ANY,ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,ANY,ANY,No cap / not found,Not found,No,No,ANY
Composite Loan Scheme,Minority,ANY,"₹120,000",18-50,Yes,No,ANY
Comprehensive Handloom Cluster Development Scheme (CHCDP),ANY,female,"₹700,000,000",18-70,No,No,"Handlooms, Textiles, Cluster Development, Weavers Support, Infrastructure Grant, Artisan Empowerment"
Consortia & Tender Marketing Scheme,ANY,ANY,No cap / not found,Not found,No,No,ANY
Creation of Modern Facilities in Market Committee: Scheme to provide assistance foe setting up modern facilities in Market Committee,ANY,ANY,No cap / not found,Not found,No,No,ANY
Credit Based Schemes For SC - Aajeevika Micro-Finance Yojana (Livelihood Microfinance Scheme),ANY,ANY,No cap / not found,Not found,No,No,ANY
Credit Based Schemes For SC - Term Loan (TL),ANY,ANY,No cap / not found,Not found,No,No,ANY
Credit Enhancement Guarantee Scheme For The Scheduled Castes,SC,ANY,No cap / not found,Not found,No,No,"manufacturing, services, startup"
Credit Linked Capital Subsidy and Technology Upgradation Scheme (CLCS-TUS) / Competent Technology & Manufacturing Scheme (CTMS),ANY,female,No cap / not found,18-70,No,No,"MSME, Technology Upgradation, Capital Subsidy, Credit Linked, Manufacturing Support, Industrial Growth"
DAY-NULM Self Help Group Bank Linkage & Revolving Fund (Uttarakhand),"Minority, OBC, SC, ST",female,No cap / not found,18-60,No,No,"Urban Poverty Alleviation, Self-Help Groups, Microfinance, Women Empowerment, Livelihoods"
Dairy Farming Scheme (HSFDC),ANY,ANY,"₹180,000",Not found,No,No,ANY
Dalit Bandhu,SC,ANY,No cap / not found,Not found,No,No,"agriculture, education"
Dalit Bandhu Welfare & Empowerment Scheme,SC,female,No cap / not found,21-60,No,No,"Dalit Bandhu, Scheduled Caste Welfare, Economic Empowerment, Financial Assistance, Livelihood Grant"
Deen Dayal Upadhyaya Bunkar Yojana,ANY,female,No cap / not found,Not found,No,No,handicraft
Design Scheme Under MSME Innovative Scheme,ANY,ANY,No cap / not found,Not found,No,No,MSME
Dilli Swarojgar Yojna,Minority,ANY,"₹200,000",18-50,No,No,handicraft
Direct Loan Scheme Karnataka,ANY,ANY,"₹30,000",Not found,No,No,handicraft
Direct Loans For Business Enterprise,Minority,ANY,No cap / not found,18-55,No,No,ANY
Distribution of Sewing Machines at Free of Cost,ANY,ANY,"₹40,000",20-45,No,No,ANY
"District Central Cooperative Banks and through its Branches: For Professional Loan to Doctors, Engineers and Self Employed Professional",ANY,ANY,No cap / not found,Not found,No,No,ANY
"District Central Cooperative Banks and through its Branches: For Revamped Micro Credit Loan for Women Vendors of Flower, Vegetable, Fruit etc.",ANY,female,No cap / not found,Not found,No,No,ANY
Divyangjan & Student Youth Welfare Scheme (DSY),ANY,female,No cap / not found,16-35,Yes,No,"Divyangjan, Student Welfare, Youth Development, Skill Training, Financial Assistance, Education"
Dr. Ambedkar Backward Classes & Divyangjan Kalyan Yojana (DBAKY),EWS,female,No cap / not found,18-65,Yes,No,"Backward Classes, Divyangjan Welfare, Dr. Ambedkar Schemes, Financial Assistance, Livelihood, Social Justice"
Dr. Bhimrao Ambedkar Aarthik Kalyan Yojana,ANY,ANY,No cap / not found,18-55,No,No,ANY
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Interest Subsidy (Manufacturing Sector),"SC, ST",ANY,No cap / not found,Not found,No,No,manufacturing
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Interest Subsidy (Service Sector),"SC, ST",ANY,No cap / not found,Not found,No,No,"manufacturing, services"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Power Connection Charges,"SC, ST",ANY,No cap / not found,Not found,No,No,services
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Quality Certification,"SC, ST",ANY,No cap / not found,Not found,No,No,ANY
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Raising Capital through SME Exchange,"SC, ST",ANY,No cap / not found,Not found,No,No,ANY
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Technology Acquisition,"SC, ST",ANY,No cap / not found,Not found,No,No,"manufacturing, MSME"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance in Implementation of Information and Communication Technology (ICT),"SC, ST",ANY,No cap / not found,Not found,No,No,ANY
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance in Rent to MSEs,"SC, ST",ANY,No cap / not found,Not found,No,No,manufacturing
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance of Capital Investment Subsidy,"SC, ST",ANY,No cap / not found,Not found,No,No,manufacturing
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to GIDC for Developing Multi-Storied Shed in Estates,"SC, ST",ANY,No cap / not found,Not found,No,No,"manufacturing, trading, services"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to MSEs for Shed Developed by Private Developer,"SC, ST",ANY,No cap / not found,Not found,No,No,ANY
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to MSME Manufacturing Sector Participation in the Exhibition (National and International),"SC, ST",ANY,No cap / not found,Not found,No,No,"manufacturing, trading, MSME"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to Micro and Small Enterprises (MSE) of SC/ST for Plot Developed by GIDC,"SC, ST",ANY,No cap / not found,Not found,No,No,ANY
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to Special Entrepreneurship Degree Approach Training with 360 Promoters/ with Mentoring Support and Sustenance Allowance for Entrepreneurs,"SC, ST",ANY,No cap / not found,18-100,No,No,ANY
"Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to basic industrial infrastructure (Water, Gas and Approach Road)","SC, ST",ANY,No cap / not found,Not found,No,No,ANY
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Financial Support to MSMEs in ZED Certification,"SC, ST",ANY,No cap / not found,Not found,No,No,"manufacturing, MSME"
E-Thela Sahaayata Yojana,ANY,ANY,No cap / not found,Not found,No,No,healthcare
Economic Development Scheme for ST & Women in STEM (EDSC-ST-WISTEM),ST,female,No cap / not found,18-45,No,No,"Women in STEM, Tribal Development, Higher Education, Research Grants, Innovation, Fellowships"
Electronics Manufacturing Clusters 2.0 (EMC 2.0) Scheme / Financial Support for EMC Infrastructure,ANY,female,No cap / not found,18-70,No,No,"Electronics Manufacturing, Industrial Infrastructure, Cluster Development, MeitY, Technology Growth"
Employment Subsidy Scheme (ESS 2017),ANY,female,No cap / not found,Not found,No,No,"Industrial Development, Employment Generation, Wage Subsidy, Manufacturing, Skill Development"
Endeavour To Empower-Skill Development,ANY,female,No cap / not found,Not found,No,No,"trading, education"
Energy Efficient Buildings and Disaster Relief / Rehabilitation Programme (EEBDRP),ANY,female,"₹500,000",18-70,No,No,"Energy Efficiency, Disaster Relief, Rehabilitation, Building Retrofitting, Financial Assistance"
Entrepreneur Support Scheme,General,ANY,No cap / not found,Not found,No,No,"manufacturing, MSME, healthcare"
Entrepreneurship Development by SC & ST Women in Science Technology Engineering Mathematics,"SC, ST",female,No cap / not found,Not found,No,No,ANY
Entrepreneurship Readiness Scheme (ERS),ANY,female,No cap / not found,18-45,No,No,"Entrepreneurship, Skill Development, Startup Training, Capacity Building, Business Mentorship"
Entrepreneurship and Skill Development Programme,"SC, ST",female,No cap / not found,18-100,Yes,No,ANY
