transcript_id,token,label
T0008,male,B-GENDER
T0008,labour,B-OCCUPATION
T0008,living,O
T0008,in,O
T0008,West,B-STATE
T0008,Bengal,I-STATE
T0008,My,O
T0008,annual,O
T0008,household,O
T0008,income,O
T0008,is,O
T0008,600000,B-ANNUAL_INCOME
T0008,rupees,O
T0009,Mera,O
T0009,naam,O
T0009,Ramesh,O
T0009,hai,O
T0009,main,O
T0009,Tamil,B-STATE
T0009,Nadu,I-STATE
T0009,ka,O
T0009,rehne,O
T0009,wala,O
T0009,hu,O
T0009,Main,O
T0009,OBC,B-CASTE_CATEGORY
T0009,category,O
T0009,se,O
T0009,ek,O
T0009,mahila,B-GENDER
T0009,hu,O
T0009,aur,O
T0009,bunkar,B-OCCUPATION
T0009,hu,O
T0009,Aamdani,O
T0009,80000,B-ANNUAL_INCOME
T0009,per,O
T0009,year,O
T0009,hai,O
T0010,Namaste,O
T0010,main,O
T0010,51,B-AGE
T0010,varsh,O
T0010,ka,O
T0010,artisan,B-OCCUPATION
T0010,hu,O
T0010,Uttar,B-STATE
T0010,Pradesh,I-STATE
T0010,se,O
T0010,Meri,O
T0010,income,O
T0010,350000,B-ANNUAL_INCOME
T0010,rupaye,O
T0010,hai,O
T0010,aur,O
T0010,main,O
T0010,SC,B-CASTE_CATEGORY
T0010,varg,O
T0010,se,O
T0010,hoon,O
T0010,Main,O
T0010,divyang,B-DISABILITY
T0010,hu,O
T0011,I,O
T0011,belong,O
T0011,to,O
T0011,OBC,B-CASTE_CATEGORY
T0011,category,O
T0011,from,O
T0011,West,B-STATE
T0011,Bengal,I-STATE
T0011,Age,O
T0011,is,O
T0011,19,B-AGE
T0011,profession,O
T0011,is,O
T0011,artisan,B-OCCUPATION
T0011,income,O
T0011,around,O
T0011,120000,B-ANNUAL_INCOME
T0012,Namaste,O
T0012,main,O
T0012,20,B-AGE
T0012,varsh,O
T0012,ka,O
T0012,weaver,B-OCCUPATION
T0012,hu,O
T0012,Uttar,B-STATE
T0012,Pradesh,I-STATE
T0012,se,O
T0012,Meri,O
T0012,income,O
T0012,45000,B-ANNUAL_INCOME
T0012,rupaye,O
T0012,hai,O
T0012,aur,O
T0012,main,O
T0012,OBC,B-CASTE_CATEGORY
T0012,varg,O
T0012,se,O
T0012,hoon,O
T0012,Main,O
T0012,divyang,B-DISABILITY
T0012,hu,O
T0013,Mera,O
T0013,naam,O
T0013,Ramesh,O
T0013,hai,O
T0013,main,O
T0013,Bihar,B-STATE
T0013,ka,O
T0013,rehne,O
T0013,wala,O
T0013,hu,O
T0013,Main,O
T0013,SC,B-CASTE_CATEGORY
T0013,category,O
T0013,se,O
T0013,ek,O
T0013,purush,B-GENDER
T0013,hu,O
T0013,aur,O
T0013,student,B-OCCUPATION
T0013,hu,O
T0013,Aamdani,O
T0013,350000,B-ANNUAL_INCOME
T0013,per,O
T0013,year,O
T0013,hai,O
T0014,I,O
T0014,am,O
T0014,a,O
T0014,43,B-AGE
T0014,year,O
T0014,old,O
T0014,male,B-GENDER
T0014,artisan,B-OCCUPATION
T0014,living,O
T0014,in,O
T0014,Bihar,B-STATE
T0014,My,O
T0014,annual,O
T0014,household,O
T0014,income,O
T0014,is,O
T0014,0,B-ANNUAL_INCOME
T0014,rupees,O
T0015,Main,O
T0015,Karnataka,B-STATE
T0015,se,O
T0015,ek,O
T0015,unemployed,B-OCCUPATION
T0015,hu,O
T0015,meri,O
T0015,umar,O
T0015,52,B-AGE
T0015,saal,O
T0015,hai,O
T0015,aur,O
T0015,saalana,O
T0015,kamai,O
T0015,0,B-ANNUAL_INCOME
T0015,rupe,O
T0015,hai,O
T0016,I,O
T0016,belong,O
T0016,to,O
T0016,General,B-CASTE_CATEGORY
T0016,category,O
T0016,from,O
T0016,West,B-STATE
T0016,Bengal,I-STATE
T0016,Age,O
T0016,is,O
T0016,28,B-AGE
T0016,profession,O
T0016,is,O
T0016,kisan,B-OCCUPATION
T0016,income,O
T0016,around,O
T0016,0,B-ANNUAL_INCOME
T0017,Namaste,O
T0017,main,O
T0017,62,B-AGE
T0017,varsh,O
T0017,ka,O
T0017,berojgar,B-OCCUPATION
T0017,hu,O
T0017,Bihar,B-STATE
T0017,se,O
T0017,Meri,O
T0017,income,O
T0017,80000,B-ANNUAL_INCOME
T0017,rupaye,O
T0017,hai,O
T0017,aur,O
T0017,main,O
T0017,SC,B-CASTE_CATEGORY
T0017,varg,O
T0017,se,O
T0017,hoon,O
T0017,Main,O
T0017,divyang,B-DISABILITY
T0017,hu,O
T0018,I,O
T0018,belong,O
T0018,to,O
T0018,SC,B-CASTE_CATEGORY
T0018,category,O
T0018,from,O
T0018,Madhya,B-STATE
T0018,Pradesh,I-STATE
T0018,Age,O
T0018,is,O
T0018,21,B-AGE
T0018,profession,O
T0018,is,O
T0018,labour,B-OCCUPATION
T0018,income,O
T0018,around,O
T0018,120000,B-ANNUAL_INCOME
T0019,Main,O
T0019,Karnataka,B-STATE
T0019,se,O
T0019,ek,O
T0019,artisan,B-OCCUPATION
T0019,hu,O
T0019,meri,O
T0019,umar,O
T0019,39,B-AGE
T0019,saal,O
T0019,hai,O
T0019,aur,O
T0019,saalana,O
T0019,kamai,O
T0019,120000,B-ANNUAL_INCOME
T0019,rupe,O
T0019,hai,O
T0020,I,O
T0020,am,O
T0020,a,O
T0020,44,B-AGE
T0020,year,O
T0020,old,O
T0020,male,B-GENDER
T0020,mazdoor,B-OCCUPATION
T0020,living,O
T0020,in,O
T0020,Bihar,B-STATE
T0020,My,O
T0020,annual,O
T0020,household,O
T0020,income,O
T0020,is,O
T0020,600000,B-ANNUAL_INCOME
T0020,rupees,O
T0021,Main,O
T0021,Madhya,B-STATE
T0021,Pradesh,I-STATE
T0021,se,O
T0021,ek,O
T0021,mazdoor,B-OCCUPATION
T0021,hu,O
T0021,meri,O
T0021,umar,O
T0021,35,B-AGE
T0021,saal,O
T0021,hai,O
T0021,aur,O
T0021,saalana,O
T0021,kamai,O
T0021,600000,B-ANNUAL_INCOME
T0021,rupe,O
T0021,hai,O
T0022,Hi,O
T0022,I,O
T0022,am,O
T0022,58,B-AGE
T0022,years,O
T0022,old,O
T0022,student,O
T0022,from,O
T0022,West,B-STATE
T0022,Bengal,I-STATE
T0022,My,O
T0022,family,O
T0022,income,O
T0022,is,O
T0022,120000,B-ANNUAL_INCOME
T0022,and,O
T0022,I,O
T0022,am,O
T0022,differently,B-DISABILITY
T0022,abled,I-DISABILITY
T0023,I,O
T0023,am,O
T0023,a,O
T0023,44,B-AGE
T0023,year,O
T0023,old,O
T0023,male,B-GENDER
T0023,labour,B-OCCUPATION
T0023,living,O
T0023,in,O
T0023,Maharashtra,B-STATE
T0023,My,O
T0023,annual,O
T0023,household,O
T0023,income,O
T0023,is,O
T0023,120000,B-ANNUAL_INCOME
T0023,rupees,O
T0024,I,O
T0024,belong,O
T0024,to,O
T0024,SC,B-CASTE_CATEGORY
T0024,category,O
T0024,from,O
T0024,Bihar,B-STATE
T0024,Age,O
T0024,is,O
T0024,20,B-AGE
T0024,profession,O
T0024,is,O
T0024,berojgar,B-OCCUPATION
T0024,income,O
T0024,around,O
T0024,80000,B-ANNUAL_INCOME
T0025,Hi,O
T0025,I,O
T0025,am,O
T0025,62,B-AGE
T0025,years,O
T0025,old,O
T0025,student,O
T0025,from,O
T0025,West,B-STATE
T0025,Bengal,I-STATE
T0025,My,O
T0025,family,O
T0025,income,O
T0025,is,O
T0025,120000,B-ANNUAL_INCOME
T0025,and,O
T0025,I,O
T0025,am,O
T0025,differently,B-DISABILITY
T0025,abled,I-DISABILITY
T0026,Hi,O
T0026,I,O
T0026,am,O
T0026,65,B-AGE
T0026,years,O
T0026,old,O
T0026,student,O
T0026,from,O
T0026,Uttar,B-STATE
T0026,Pradesh,I-STATE
T0026,My,O
T0026,family,O
T0026,income,O
T0026,is,O
T0026,200000,B-ANNUAL_INCOME
T0026,and,O
T0026,I,O
T0026,am,O
T0026,differently,B-DISABILITY
T0026,abled,I-DISABILITY
T0027,I,O
T0027,belong,O
T0027,to,O
T0027,General,B-CASTE_CATEGORY
T0027,category,O
T0027,from,O
T0027,Rajasthan,B-STATE
T0027,Age,O
T0027,is,O
T0027,45,B-AGE
T0027,profession,O
T0027,is,O
T0027,street,B-OCCUPATION
T0027,vendor,I-OCCUPATION
T0027,income,O
T0027,around,O
T0027,600000,B-ANNUAL_INCOME
T0028,Hi,O
T0028,I,O
T0028,am,O
T0028,51,B-AGE
T0028,years,O
T0028,old,O
T0028,student,O
T0028,from,O
T0028,Bihar,B-STATE
T0028,My,O
T0028,family,O
T0028,income,O
T0028,is,O
T0028,80000,B-ANNUAL_INCOME
T0028,and,O
T0028,I,O
T0028,am,O
T0028,differently,B-DISABILITY
T0028,abled,I-DISABILITY
T0029,Hi,O
T0029,I,O
T0029,am,O
T0029,65,B-AGE
T0029,years,O
T0029,old,O
T0029,student,O
T0029,from,O
T0029,Madhya,B-STATE
T0029,Pradesh,I-STATE
T0029,My,O
T0029,family,O
T0029,income,O
T0029,is,O
T0029,0,B-ANNUAL_INCOME
T0029,and,O
T0029,I,O
T0029,am,O
T0029,differently,B-DISABILITY
T0029,abled,I-DISABILITY
T0030,Main,O
T0030,Rajasthan,B-STATE
T0030,se,O
T0030,ek,O
T0030,bunkar,B-OCCUPATION
T0030,hu,O
T0030,meri,O
T0030,umar,O
T0030,64,B-AGE
T0030,saal,O
T0030,hai,O
T0030,aur,O
T0030,saalana,O
T0030,kamai,O
T0030,600000,B-ANNUAL_INCOME
T0030,rupe,O
T0030,hai,O
T0031,Namaste,O
T0031,main,O
T0031,29,B-AGE
T0031,varsh,O
T0031,ka,O
T0031,unemployed,B-OCCUPATION
T0031,hu,O
T0031,Karnataka,B-STATE
T0031,se,O
T0031,Meri,O
T0031,income,O
T0031,120000,B-ANNUAL_INCOME
T0031,rupaye,O
T0031,hai,O
T0031,aur,O
T0031,main,O
T0031,OBC,B-CASTE_CATEGORY
T0031,varg,O
T0031,se,O
T0031,hoon,O
T0031,Main,O
T0031,divyang,B-DISABILITY
T0031,hu,O
T0032,I,O
T0032,am,O
T0032,a,O
T0032,28,B-AGE
T0032,year,O
T0032,old,O
T0032,male,B-GENDER
T0032,student,B-OCCUPATION
T0032,living,O
T0032,in,O
T0032,Rajasthan,B-STATE
T0032,My,O
T0032,annual,O
T0032,household,O
T0032,income,O
T0032,is,O
T0032,350000,B-ANNUAL_INCOME
T0032,rupees,O
T0033,Hi,O
T0033,I,O
T0033,am,O
T0033,55,B-AGE
T0033,years,O
T0033,old,O
T0033,student,O
T0033,from,O
T0033,Maharashtra,B-STATE
T0033,My,O
T0033,family,O
T0033,income,O
T0033,is,O
T0033,350000,B-ANNUAL_INCOME
T0033,and,O
T0033,I,O
T0033,am,O
T0033,differently,B-DISABILITY
T0033,abled,I-DISABILITY
T0034,Mera,O
T0034,naam,O
T0034,Ramesh,O
T0034,hai,O
T0034,main,O
T0034,Tamil,B-STATE
T0034,Nadu,I-STATE
T0034,ka,O
T0034,rehne,O
T0034,wala,O
T0034,hu,O
T0034,Main,O
T0034,OBC,B-CASTE_CATEGORY
T0034,category,O
T0034,se,O
T0034,ek,O
T0034,purush,B-GENDER
T0034,hu,O
T0034,aur,O
T0034,artisan,B-OCCUPATION
T0034,hu,O
T0034,Aamdani,O
T0034,0,B-ANNUAL_INCOME
T0034,per,O
T0034,year,O
T0034,hai,O
T0035,I,O
T0035,belong,O
T0035,to,O
T0035,General,B-CASTE_CATEGORY
T0035,category,O
T0035,from,O
T0035,Uttar,B-STATE
T0035,Pradesh,I-STATE
T0035,Age,O
T0035,is,O
T0035,21,B-AGE
T0035,profession,O
T0035,is,O
T0035,weaver,B-OCCUPATION
T0035,income,O
T0035,around,O
T0035,80000,B-ANNUAL_INCOME
T0036,I,O
T0036,am,O
T0036,a,O
T0036,34,B-AGE
T0036,year,O
T0036,old,O
T0036,female,B-GENDER
T0036,student,B-OCCUPATION
T0036,living,O
T0036,in,O
T0036,West,B-STATE
T0036,Bengal,I-STATE
T0036,My,O
T0036,annual,O
T0036,household,O
T0036,income,O
T0036,is,O
T0036,200000,B-ANNUAL_INCOME
T0036,rupees,O
T0037,I,O
T0037,am,O
T0037,a,O
T0037,21,B-AGE
T0037,year,O
T0037,old,O
T0037,male,B-GENDER
T0037,weaver,B-OCCUPATION
T0037,living,O
T0037,in,O
T0037,Madhya,B-STATE
T0037,Pradesh,I-STATE
T0037,My,O
T0037,annual,O
T0037,household,O
T0037,income,O
T0037,is,O
T0037,200000,B-ANNUAL_INCOME
T0037,rupees,O
T0038,Hi,O
T0038,I,O
T0038,am,O
T0038,54,B-AGE
T0038,years,O
T0038,old,O
T0038,student,O
T0038,from,O
T0038,Bihar,B-STATE
T0038,My,O
T0038,family,O
T0038,income,O
T0038,is,O
T0038,600000,B-ANNUAL_INCOME
T0038,and,O
T0038,I,O
T0038,am,O
T0038,differently,B-DISABILITY
T0038,abled,I-DISABILITY
T0039,Mera,O
T0039,naam,O
T0039,Ramesh,O
T0039,hai,O
T0039,main,O
T0039,Karnataka,B-STATE
T0039,ka,O
T0039,rehne,O
T0039,wala,O
T0039,hu,O
T0039,Main,O
T0039,General,B-CASTE_CATEGORY
T0039,category,O
T0039,se,O
T0039,ek,O
T0039,mahila,B-GENDER
T0039,hu,O
T0039,aur,O
T0039,weaver,B-OCCUPATION
T0039,hu,O
T0039,Aamdani,O
T0039,0,B-ANNUAL_INCOME
T0039,per,O
T0039,year,O
T0039,hai,O
T0040,I,O
T0040,am,O
T0040,a,O
T0040,32,B-AGE
T0040,year,O
T0040,old,O
T0040,female,B-GENDER
T0040,weaver,B-OCCUPATION
T0040,living,O
T0040,in,O
T0040,Madhya,B-STATE
T0040,Pradesh,I-STATE
T0040,My,O
T0040,annual,O
T0040,household,O
T0040,income,O
T0040,is,O
T0040,200000,B-ANNUAL_INCOME
T0040,rupees,O
T0041,Main,O
T0041,Karnataka,B-STATE
T0041,se,O
T0041,ek,O
T0041,rehri,B-OCCUPATION
T0041,wala,I-OCCUPATION
T0041,hu,O
T0041,meri,O
T0041,umar,O
T0041,20,B-AGE
T0041,saal,O
T0041,hai,O
T0041,aur,O
T0041,saalana,O
T0041,kamai,O
T0041,120000,B-ANNUAL_INCOME
T0041,rupe,O
T0041,hai,O
T0042,Hi,O
T0042,I,O
T0042,am,O
T0042,62,B-AGE
T0042,years,O
T0042,old,O
T0042,student,O
T0042,from,O
T0042,Bihar,B-STATE
T0042,My,O
T0042,family,O
T0042,income,O
T0042,is,O
T0042,200000,B-ANNUAL_INCOME
T0042,and,O
T0042,I,O
T0042,am,O
T0042,differently,B-DISABILITY
T0042,abled,I-DISABILITY
T0043,Main,O
T0043,Rajasthan,B-STATE
T0043,se,O
T0043,ek,O
T0043,street,B-OCCUPATION
T0043,vendor,I-OCCUPATION
T0043,hu,O
T0043,meri,O
T0043,umar,O
T0043,39,B-AGE
T0043,saal,O
T0043,hai,O
T0043,aur,O
T0043,saalana,O
T0043,kamai,O
T0043,200000,B-ANNUAL_INCOME
T0043,rupe,O
T0043,hai,O
T0044,Mera,O
T0044,naam,O
T0044,Ramesh,O
T0044,hai,O
T0044,main,O
T0044,Karnataka,B-STATE
T0044,ka,O
T0044,rehne,O
T0044,wala,O
T0044,hu,O
T0044,Main,O
T0044,ST,B-CASTE_CATEGORY
T0044,category,O
T0044,se,O
T0044,ek,O
T0044,purush,B-GENDER
T0044,hu,O
T0044,aur,O
T0044,street,B-OCCUPATION
T0044,vendor,I-OCCUPATION
T0044,hu,O
T0044,Aamdani,O
T0044,350000,B-ANNUAL_INCOME
T0044,per,O
T0044,year,O
T0044,hai,O
T0045,Main,O
T0045,Karnataka,B-STATE
T0045,se,O
T0045,ek,O
T0045,student,B-OCCUPATION
T0045,hu,O
T0045,meri,O
T0045,umar,O
T0045,54,B-AGE
T0045,saal,O
T0045,hai,O
T0045,aur,O
T0045,saalana,O
T0045,kamai,O
T0045,80000,B-ANNUAL_INCOME
T0045,rupe,O
T0045,hai,O
T0046,I,O
T0046,am,O
T0046,a,O
T0046,57,B-AGE
T0046,year,O
T0046,old,O
T0046,female,B-GENDER
T0046,weaver,B-OCCUPATION
T0046,living,O
T0046,in,O
T0046,West,B-STATE
T0046,Bengal,I-STATE
T0046,My,O
T0046,annual,O
T0046,household,O
T0046,income,O
T0046,is,O
T0046,200000,B-ANNUAL_INCOME
T0046,rupees,O
T0047,Mera,O
T0047,naam,O
T0047,Ramesh,O
T0047,hai,O
T0047,main,O
T0047,Bihar,B-STATE
T0047,ka,O
T0047,rehne,O
T0047,wala,O
T0047,hu,O
T0047,Main,O
T0047,General,B-CASTE_CATEGORY
T0047,category,O
T0047,se,O
T0047,ek,O
T0047,mahila,B-GENDER
T0047,hu,O
T0047,aur,O
T0047,bunkar,B-OCCUPATION
T0047,hu,O
T0047,Aamdani,O
T0047,80000,B-ANNUAL_INCOME
T0047,per,O
T0047,year,O
T0047,hai,O
T0048,Hi,O
T0048,I,O
T0048,am,O
T0048,53,B-AGE
T0048,years,O
T0048,old,O
T0048,student,O
T0048,from,O
T0048,West,B-STATE
T0048,Bengal,I-STATE
T0048,My,O
T0048,family,O
T0048,income,O
T0048,is,O
T0048,350000,B-ANNUAL_INCOME
T0048,and,O
T0048,I,O
T0048,am,O
T0048,differently,B-DISABILITY
T0048,abled,I-DISABILITY
T0049,Main,O
T0049,Rajasthan,B-STATE
T0049,se,O
T0049,ek,O
T0049,rehri,B-OCCUPATION
T0049,wala,I-OCCUPATION
T0049,hu,O
T0049,meri,O
T0049,umar,O
T0049,51,B-AGE
T0049,saal,O
T0049,hai,O
T0049,aur,O
T0049,saalana,O
T0049,kamai,O
T0049,200000,B-ANNUAL_INCOME
T0049,rupe,O
T0049,hai,O
T0050,Hi,O
T0050,I,O
T0050,am,O
T0050,51,B-AGE
T0050,years,O
T0050,old,O
T0050,student,O
T0050,from,O
T0050,Tamil,B-STATE
T0050,Nadu,I-STATE
T0050,My,O
T0050,family,O
T0050,income,O
T0050,is,O
T0050,120000,B-ANNUAL_INCOME
T0050,and,O
T0050,I,O
T0050,am,O
T0050,differently,B-DISABILITY
T0050,abled,I-DISABILITY
T0051,Namaste,O
T0051,main,O
T0051,34,B-AGE
T0051,varsh,O
T0051,ka,O
T0051,mazdoor,B-OCCUPATION
T0051,hu,O
T0051,Madhya,B-STATE
T0051,Pradesh,I-STATE
T0051,se,O
T0051,Meri,O
T0051,income,O
T0051,350000,B-ANNUAL_INCOME
T0051,rupaye,O
T0051,hai,O
T0051,aur,O
T0051,main,O
T0051,SC,B-CASTE_CATEGORY
T0051,varg,O
T0051,se,O
T0051,hoon,O
T0051,Main,O
T0051,divyang,B-DISABILITY
T0051,hu,O
T0052,Namaste,O
T0052,main,O
T0052,27,B-AGE
T0052,varsh,O
T0052,ka,O
T0052,student,B-OCCUPATION
T0052,hu,O
T0052,Madhya,B-STATE
T0052,Pradesh,I-STATE
T0052,se,O
T0052,Meri,O
T0052,income,O
T0052,350000,B-ANNUAL_INCOME
T0052,rupaye,O
T0052,hai,O
T0052,aur,O
T0052,main,O
T0052,General,B-CASTE_CATEGORY
T0052,varg,O
T0052,se,O
T0052,hoon,O
T0052,Main,O
T0052,divyang,B-DISABILITY
T0052,hu,O
T0053,Main,O
T0053,Rajasthan,B-STATE
T0053,se,O
T0053,ek,O
T0053,farmer,B-OCCUPATION
T0053,hu,O
T0053,meri,O
T0053,umar,O
T0053,23,B-AGE
T0053,saal,O
T0053,hai,O
T0053,aur,O
T0053,saalana,O
T0053,kamai,O
T0053,0,B-ANNUAL_INCOME
T0053,rupe,O
T0053,hai,O
T0054,I,O
T0054,am,O
T0054,a,O
T0054,46,B-AGE
T0054,year,O
T0054,old,O
T0054,male,B-GENDER
T0054,chhatra,B-OCCUPATION
T0054,living,O
T0054,in,O
T0054,West,B-STATE
T0054,Bengal,I-STATE
T0054,My,O
T0054,annual,O
T0054,household,O
T0054,income,O
T0054,is,O
T0054,600000,B-ANNUAL_INCOME
T0054,rupees,O
T0055,I,O
T0055,am,O
T0055,a,O
T0055,19,B-AGE
T0055,year,O
T0055,old,O
T0055,male,B-GENDER
T0055,bunkar,B-OCCUPATION
T0055,living,O
T0055,in,O
T0055,West,B-STATE
T0055,Bengal,I-STATE
T0055,My,O
T0055,annual,O
T0055,household,O
T0055,income,O
T0055,is,O
T0055,600000,B-ANNUAL_INCOME
T0055,rupees,O
T0056,Mera,O
T0056,naam,O
T0056,Ramesh,O
T0056,hai,O
T0056,main,O
T0056,Karnataka,B-STATE
T0056,ka,O
T0056,rehne,O
T0056,wala,O
T0056,hu,O
T0056,Main,O
T0056,General,B-CASTE_CATEGORY
T0056,category,O
T0056,se,O
T0056,ek,O
T0056,mahila,B-GENDER
T0056,hu,O
T0056,aur,O
T0056,daily,B-OCCUPATION
T0056,wage,I-OCCUPATION
T0056,worker,I-OCCUPATION
T0056,hu,O
T0056,Aamdani,O
T0056,200000,B-ANNUAL_INCOME
T0056,per,O
T0056,year,O
T0056,hai,O
T0057,I,O
T0057,belong,O
T0057,to,O
T0057,OBC,B-CASTE_CATEGORY
T0057,category,O
T0057,from,O
T0057,Karnataka,B-STATE
T0057,Age,O
T0057,is,O
T0057,41,B-AGE
T0057,profession,O
T0057,is,O
T0057,bunkar,B-OCCUPATION
T0057,income,O
T0057,around,O
T0057,45000,B-ANNUAL_INCOME
T0058,Main,O
T0058,Karnataka,B-STATE
T0058,se,O
T0058,ek,O
T0058,rehri,B-OCCUPATION
T0058,wala,I-OCCUPATION
T0058,hu,O
T0058,meri,O
T0058,umar,O
T0058,53,B-AGE
T0058,saal,O
T0058,hai,O
T0058,aur,O
T0058,saalana,O
T0058,kamai,O
T0058,350000,B-ANNUAL_INCOME
T0058,rupe,O
T0058,hai,O
T0059,Mera,O
T0059,naam,O
T0059,Ramesh,O
T0059,hai,O
T0059,main,O
T0059,West,B-STATE
T0059,Bengal,I-STATE
T0059,ka,O
T0059,rehne,O
T0059,wala,O
T0059,hu,O
T0059,Main,O
T0059,General,B-CASTE_CATEGORY
T0059,category,O
T0059,se,O
T0059,ek,O
T0059,mahila,B-GENDER
T0059,hu,O
T0059,aur,O
T0059,rehri,B-OCCUPATION
T0059,wala,I-OCCUPATION
T0059,hu,O
T0059,Aamdani,O
T0059,600000,B-ANNUAL_INCOME
T0059,per,O
T0059,year,O
T0059,hai,O
T0060,I,O
T0060,belong,O
T0060,to,O
T0060,SC,B-CASTE_CATEGORY
T0060,category,O
T0060,from,O
T0060,Bihar,B-STATE
T0060,Age,O
T0060,is,O
T0060,45,B-AGE
T0060,profession,O
T0060,is,O
T0060,student,B-OCCUPATION
T0060,income,O
T0060,around,O
T0060,600000,B-ANNUAL_INCOME
T0061,I,O
T0061,am,O
T0061,a,O
T0061,30,B-AGE
T0061,year,O
T0061,old,O
T0061,male,B-GENDER
T0061,labour,B-OCCUPATION
T0061,living,O
T0061,in,O
T0061,Tamil,B-STATE
T0061,Nadu,I-STATE
T0061,My,O
T0061,annual,O
T0061,household,O
T0061,income,O
T0061,is,O
T0061,600000,B-ANNUAL_INCOME
T0061,rupees,O
T0062,I,O
T0062,am,O
T0062,a,O
T0062,51,B-AGE
T0062,year,O
T0062,old,O
T0062,male,B-GENDER
T0062,student,B-OCCUPATION
T0062,living,O
T0062,in,O
T0062,West,B-STATE
T0062,Bengal,I-STATE
T0062,My,O
T0062,annual,O
T0062,household,O
T0062,income,O
T0062,is,O
T0062,45000,B-ANNUAL_INCOME
T0062,rupees,O
T0063,Mera,O
T0063,naam,O
T0063,Ramesh,O
T0063,hai,O
T0063,main,O
T0063,Rajasthan,B-STATE
T0063,ka,O
T0063,rehne,O
T0063,wala,O
T0063,hu,O
T0063,Main,O
T0063,OBC,B-CASTE_CATEGORY
T0063,category,O
T0063,se,O
T0063,ek,O
T0063,purush,B-GENDER
T0063,hu,O
T0063,aur,O
T0063,labour,B-OCCUPATION
T0063,hu,O
T0063,Aamdani,O
T0063,350000,B-ANNUAL_INCOME
T0063,per,O
T0063,year,O
T0063,hai,O
T0064,Hi,O
T0064,I,O
T0064,am,O
T0064,22,B-AGE
T0064,years,O
T0064,old,O
T0064,student,O
T0064,from,O
T0064,Madhya,B-STATE
T0064,Pradesh,I-STATE
T0064,My,O
T0064,family,O
T0064,income,O
T0064,is,O
T0064,120000,B-ANNUAL_INCOME
T0064,and,O
